Rk,G,Date,Age,Tm,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,"October 24, 2024",19-095,WAS,BOS,L (-20),1,25:55:00,1,6,0.167,0,2,0,1,2,0.5,0,3,3,2,0,2,2,3,3,-0.7,-23
2,2,"October 26, 2024",19-097,WAS,CLE,L (-19),1,25:17:00,2,8,0.25,2,4,0.5,4,4,1,0,2,2,4,0,0,2,5,10,4.6,-15
3,3,"October 28, 2024",19-099,WAS,ATL,W (+2),0,21:02,4,5,0.8,3,4,0.75,2,2,1,0,3,3,2,1,0,1,3,13,12.2,-3
4,4,"October 30, 2024",19-101,WAS,ATL,W (+13),1,32:52:00,5,8,0.625,1,2,0.5,5,5,1,0,6,6,6,0,0,2,3,16,15.2,3
5,5,"November 2, 2024",19-104,WAS,MIA,L (-20),1,37:00:00,2,9,0.222,0,5,0,0,0,,0,4,4,8,4,0,0,3,4,8.1,-12
6,6,"November 4, 2024",19-106,WAS,GSW,L (-13),1,32:59:00,7,12,0.583,1,3,0.333,1,1,1,0,8,8,7,0,0,1,5,16,14.7,-15
7,7,"November 8, 2024",19-110,WAS,MEM,L (-24),1,33:26:00,4,11,0.364,1,5,0.2,1,2,0.5,1,9,10,8,4,0,4,3,10,11.3,-16
8,8,"November 10, 2024",19-112,WAS,ORL,L (-27),1,31:12:00,2,5,0.4,0,1,0,0,0,,0,2,2,3,0,0,1,2,4,2.2,-22
9,9,"November 11, 2024",19-113,WAS,HOU,L (-15),1,30:55:00,3,6,0.5,2,2,1,2,2,1,0,2,2,6,4,2,1,2,10,15.4,-12
10,10,"November 13, 2024",19-115,WAS,SAS,L (-9),1,29:31:00,5,11,0.455,3,8,0.375,0,0,,0,5,5,5,0,0,6,4,13,4.7,-20
11,11,"November 15, 2024",19-117,WAS,ATL,L (-12),1,37:02:00,3,8,0.375,1,4,0.25,0,2,0,2,3,5,9,1,0,0,5,7,9.4,-8
12,12,"November 17, 2024",19-119,WAS,DET,L (-20),1,25:12:00,4,7,0.571,3,6,0.5,0,0,,0,3,3,3,2,0,2,1,11,10.3,-19
13,13,"November 18, 2024",19-120,WAS,NYK,L (-28),1,31:58:00,7,16,0.438,4,8,0.5,0,0,,0,4,4,2,0,0,2,3,18,9,-22
14,14,"November 22, 2024",19-124,WAS,BOS,L (-12),0,22:19,0,5,0,0,2,0,2,2,1,0,1,1,2,0,1,2,0,2,-1.1,-2
15,15,"November 24, 2024",19-126,WAS,IND,L (-12),0,22:29,2,7,0.286,1,5,0.2,0,0,,1,3,4,2,2,1,3,2,5,2.8,-5
16,16,"November 26, 2024",19-128,WAS,CHI,L (-19),0,25:06:00,4,9,0.444,2,4,0.5,0,0,,0,3,3,4,2,0,3,3,10,6.8,-8
17,17,"November 27, 2024",19-129,WAS,LAC,L (-25),0,18:59,1,4,0.25,0,3,0,1,2,0.5,0,2,2,4,0,0,1,4,3,1,-18
18,18,"November 30, 2024",19-132,WAS,MIL,L (-10),0,15:44,1,5,0.2,1,3,0.333,0,0,,0,3,3,2,1,0,1,2,3,1.4,-3
19,19,"December 3, 2024",19-135,WAS,CLE,L (-31),0,35:40:00,5,12,0.417,2,6,0.333,1,1,1,0,7,7,2,0,0,5,3,13,3.9,-20
20,20,"December 5, 2024",19-137,WAS,DAL,L (-36),0,28:23:00,6,13,0.462,3,9,0.333,0,0,,0,2,2,1,0,0,1,5,15,6.6,-26
21,21,"December 7, 2024",19-139,WAS,DEN,W (+9),1,34:07:00,4,13,0.308,2,8,0.25,0,0,,1,3,4,6,0,0,0,3,10,7.1,-3
22,22,"December 8, 2024",19-140,WAS,MEM,L (-28),1,32:32:00,3,12,0.25,1,7,0.143,0,0,,0,5,5,2,1,0,3,3,7,-0.5,-21
23,23,"December 13, 2024",19-145,WAS,CLE,L (-10),1,28:16:00,1,6,0.167,0,4,0,0,0,,1,6,7,3,0,1,1,5,2,0.5,-20
24,24,"December 15, 2024",19-147,WAS,BOS,L (-14),1,40:22:00,4,9,0.444,3,5,0.6,0,0,,2,8,10,2,1,0,3,2,11,8.7,-15
25,25,"December 19, 2024",19-151,WAS,CHO,W (+9),1,33:57:00,1,4,0.25,0,2,0,0,0,,2,7,9,4,0,0,2,4,2,2.3,3
26,26,"December 21, 2024",19-153,WAS,MIL,L (-11),0,31:57:00,3,6,0.5,1,2,0.5,0,0,,0,2,2,1,0,0,1,1,7,3.9,-4
27,27,"December 23, 2024",19-155,WAS,OKC,L (-18),1,29:07:00,4,11,0.364,4,8,0.5,2,2,1,0,2,2,3,0,0,4,3,14,5.4,-6
28,28,"December 26, 2024",19-158,WAS,CHO,W (+3),1,28:12:00,3,6,0.5,1,2,0.5,0,0,,0,1,1,3,0,0,1,4,7,3.8,-7
29,29,"December 28, 2024",19-160,WAS,NYK,L (-4),1,43:20:00,8,13,0.615,1,4,0.25,0,0,,0,5,5,5,0,0,1,2,17,14.3,3
30,30,"December 30, 2024",19-162,WAS,NYK,L (-20),1,27:40:00,2,6,0.333,2,5,0.4,0,0,,0,5,5,5,1,0,0,2,6,7.8,0
31,31,"January 1, 2025",19-164,WAS,CHI,W (+18),1,30:31:00,4,5,0.8,3,3,1,0,0,,0,4,4,6,1,1,0,1,11,15.8,12
32,32,"January 3, 2025",19-166,WAS,NOP,L (-12),1,36:12:00,4,8,0.5,0,3,0,0,0,,0,3,3,6,0,0,2,1,8,6.7,-27
33,33,"January 5, 2025",19-168,WAS,NOP,L (-12),1,33:32:00,6,9,0.667,4,7,0.571,0,0,,1,6,7,4,1,0,1,1,16,17,1
34,34,"January 7, 2025",19-170,WAS,HOU,L (-23),1,34:04:00,4,8,0.5,4,6,0.667,0,1,0,1,3,4,5,0,0,0,2,12,11.9,-15
35,35,"January 8, 2025",19-171,WAS,PHI,L (-6),1,30:44:00,4,10,0.4,0,4,0,0,0,,0,2,2,5,0,0,1,0,8,5.7,-18
36,36,"January 10, 2025",19-173,WAS,CHI,L (-33),1,22:19,1,6,0.167,0,5,0,0,0,,0,1,1,3,1,0,0,0,2,1.6,-20
37,37,"January 12, 2025",19-175,WAS,OKC,L (-41),1,34:22:00,2,10,0.2,1,6,0.167,0,0,,0,7,7,7,0,0,1,4,5,3.2,-41
