Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College
Mikal Bridges,25.0,SF,6-Jun,209,August 30 1996,us US,6,Villanova
Jalen Brunson,11.0,PG,2-Jun,190,August 31 1996,us US,6,Villanova
Josh Hart,3.0,SG,4-Jun,215,March 6 1995,us US,7,Villanova
OG Anunoby,8.0,PF,7-Jun,232,July 17 1997,gb GB,7,Indiana
Karl-Anthony Towns,32.0,C,Jul-00,248,November 15 1995,us US,9,Kentucky
Cameron Payne,1.0,PG,3-Jun,183,August 8 1994,us US,9,Murray State
Miles McBride,2.0,PG,2-Jun,200,September 8 2000,us US,3,West Virginia
Precious Achiuwa,5.0,C,8-Jun,225,September 19 1999,ng NG,4,Memphis
Tyler Kolek,13.0,PG,1-Jun,195,March 27 2001,us US,R,George Mason Marquette
Landry Shamet,44.0,SG,4-Jun,190,March 13 1997,us US,6,Wichita State
Ariel Hukporti,55.0,C,Jul-00,246,April 11 2002,de DE,R,
Matt Ryan  (TW),37.0,SF,6-Jun,215,April 17 1997,us US,3,Notre Dame Vanderbilt Chattanooga
Jacob Toppin  (TW),0.0,SF,9-Jun,205,May 8 2000,us US,1,Rhode Island Kentucky
Pacome Dadiet,4.0,SG,7-Jun,210,July 27 2005,fr FR,R,
Delon Wright,0.0,PG,5-Jun,185,April 26 1992,us US,9,Utah
Kevin McCullar Jr.  (TW),,SF,6-Jun,210,March 15 2001,us US,R,Texas Tech Kansas
Mitchell Robinson,,C,Jul-00,240,April 1 1998,us US,6,Western Kentucky
Harrison Barnes,40.0,PF,8-Jun,225,May 30 1992,us US,12,UNC
Julian Champagnie,30.0,SF,8-Jun,220,June 29 2001,us US,2,St. John's
Chris Paul,3.0,PG,Jun-00,175,May 6 1985,us US,19,Wake Forest
Stephon Castle,5.0,PG,6-Jun,215,November 1 2004,us US,R,UConn
Keldon Johnson,0.0,SF,5-Jun,220,October 11 1999,us US,5,Kentucky
Victor Wembanyama,1.0,C,3-Jul,235,January 4 2004,fr FR,1,
Devin Vassell,24.0,SG,5-Jun,200,August 23 2000,us US,4,Florida State
